scripts_before,ops,committed,affectedConjuncts,mutateMs,closeMs,totalMs
3800,100,True,110,7.92,125.92,133.84
3825,100,True,110,8.98,120.31,129.28
3850,100,True,110,17.64,127.38,145.03
3875,100,True,110,8.97,120.49,129.46
3900,100,True,110,10.69,127.1,137.79
3925,100,True,110,14.78,124.43,139.21
3950,100,True,110,8.1,127.77,135.87
3975,100,True,110,8.9,121.76,130.65
4000,100,True,110,8.62,123.78,132.4
4025,100,True,110,8.04,116.12,124.16
4050,100,True,110,7.63,120.66,128.29
4075,100,True,110,8.38,126.59,134.97
4100,100,True,110,7.54,123.58,131.12
4125,100,True,110,7.54,117.62,125.16
4150,100,True,110,9.86,121.39,131.26
4175,100,True,110,8.35,121.71,130.06
4200,100,True,110,6.99,125.91,132.89
4225,100,True,110,7.97,122.55,130.52
4250,100,True,110,7.58,128.89,136.47
4275,100,True,110,7.45,120.2,127.65
4300,100,True,110,9.43,119.75,129.18
4325,100,True,110,7.21,134.56,141.77
4350,100,True,110,7.6,132.03,139.63
4375,100,True,110,7.91,128.29,136.2
4400,100,True,110,8.28,125.18,133.46
4425,100,True,110,9.34,131.82,141.16
4450,100,True,110,8.22,140.15,148.37
4475,100,True,110,7.76,135.91,143.67
4500,100,True,110,7.87,126.2,134.07
4525,100,True,110,8.08,142.56,150.64
4550,100,True,110,7.31,127.33,134.64
4575,100,True,110,7.86,136.43,144.28
4600,100,True,110,7.47,127.36,134.83
4625,100,True,110,7.87,127.59,135.45
4650,100,True,110,7.53,131.58,139.11
4675,100,True,110,7.24,142.02,149.26
4700,100,True,110,8.6,135.43,144.03
4725,100,True,110,8.71,138.24,146.95
4750,100,True,110,16.78,142.26,159.04
4775,100,True,110,8.1,142.64,150.74
4800,100,True,110,8.59,131.28,139.86
4825,100,True,110,11.81,140.59,152.4
4850,100,True,110,7.47,135.26,142.73
4875,100,True,110,14.01,131.69,145.7
4900,100,True,110,20.59,142.64,163.23
4925,100,True,110,8.8,149.9,158.7
4950,100,True,110,8.56,133.38,141.94
4975,100,True,110,9.8,129.7,139.5
5000,100,True,110,8.07,138.04,146.11
5025,100,True,110,7.86,146.89,154.75
5050,100,True,110,9.73,148.63,158.36
5075,100,True,110,7.98,136.47,144.45
5100,100,True,110,8.46,132.75,141.21
5125,100,True,110,7.34,133.01,140.34
5150,100,True,110,7.05,137.48,144.54
5175,100,True,110,7.35,133.77,141.13
5200,100,True,110,7.43,137.76,145.19
5225,100,True,110,6.84,131.27,138.11
5250,100,True,110,8.3,134.17,142.48
5275,100,True,110,7.54,144.16,151.71
5300,100,True,110,8.61,145.83,154.44
5325,100,True,110,9.16,141.32,150.48
5350,100,True,110,7.5,143.46,150.96
5375,100,True,110,7.46,151.26,158.72
5400,100,True,110,9.64,159.5,169.14
5425,100,True,110,7.67,145.9,153.56
5450,100,True,110,8.65,143.07,151.71
5475,100,True,110,7.47,139.31,146.79
5500,100,True,110,7.01,161.16,168.17
5525,100,True,110,7.4,152.03,159.43
5550,100,True,110,7.43,149.63,157.06
5575,100,True,110,7.2,147.74,154.95
5600,100,True,110,10.55,150.3,160.86
5625,100,True,110,8.53,162.34,170.87
5650,100,True,110,13.2,148.25,161.46
5675,100,True,110,11.32,153.85,165.18
5700,100,True,110,9.34,160.16,169.49
5725,100,True,110,16.19,140.56,156.75
5750,100,True,110,7.36,151.18,158.54
5775,100,True,110,7.09,148.43,155.52
5800,100,True,110,7.22,146.65,153.87
5825,100,True,110,6.89,193.25,200.14
5850,100,True,110,8.2,161.31,169.51
5875,100,True,110,7.67,153.57,161.23
5900,100,True,110,8.21,161.98,170.19
5925,100,True,110,7.87,184.49,192.36
5950,100,True,110,8.65,153.97,162.62
5975,100,True,110,8.98,152.61,161.6
6000,100,True,110,7.29,152.79,160.09
6025,100,True,110,7.17,150.39,157.56
6050,100,True,110,7.36,150.59,157.95
6075,100,True,110,7.5,149.49,156.99
6100,100,True,110,10.3,152.83,163.13
6125,100,True,110,7.53,160.29,167.81
6150,100,True,110,7.53,155.81,163.33
6175,100,True,110,7.28,152.17,159.45
6200,100,True,110,7.36,170.88,178.24
6225,100,True,110,7.5,158.41,165.91
6250,100,True,110,23.2,204.67,227.86
6275,100,True,110,7.47,162.86,170.33
6300,100,True,110,7.64,163.01,170.65
6325,100,True,110,7.09,163.59,170.68
