rep,committed,affectedConjuncts,mutateMs,closeMs,totalMs
0,True,3,0.68,28.33,29.01
1,True,3,0.64,27.66,28.3
2,True,3,0.34,27.81,28.15
3,True,3,0.34,26.96,27.3
4,True,3,0.67,27.81,28.48
5,True,3,0.45,27.05,27.5
6,True,3,0.51,27.56,28.07
7,True,3,0.39,28.32,28.71
8,True,3,0.5,25.84,26.34
9,True,3,0.58,27.52,28.1
10,True,3,0.42,28.46,28.88
11,True,3,0.45,26.97,27.42
12,True,3,0.34,27.91,28.26
13,True,3,0.73,28.04,28.76
14,True,3,0.36,28.76,29.11
15,True,3,0.56,26.82,27.38
16,True,3,0.67,27.25,27.92
17,True,3,0.38,29.26,29.65
18,True,3,0.35,26.63,26.98
19,True,3,0.38,26.83,27.22
