rep,committed,affectedConjuncts,mutateMs,closeMs,totalMs
0,True,3,0.62,10.36,10.97
1,True,3,0.39,10.92,11.31
2,True,3,0.39,10.48,10.87
3,True,3,0.36,11.09,11.46
4,True,3,0.55,9.3,9.86
5,True,3,0.38,10.83,11.22
6,True,3,0.44,10.55,10.99
7,True,3,0.39,9.98,10.37
8,True,3,0.44,9.65,10.1
9,True,3,0.39,9.51,9.9
10,True,3,0.4,8.05,8.46
11,True,3,0.49,8.63,9.11
12,True,3,0.5,9.55,10.05
13,True,3,0.41,9.41,9.82
14,True,3,0.63,9.84,10.47
15,True,3,0.57,9.52,10.08
16,True,3,0.44,11.34,11.77
17,True,3,0.6,9.06,9.66
18,True,3,0.56,11.81,12.37
19,True,3,0.65,11.19,11.84
