page,rep,http,seconds
MyScripts,0,200,0.025516
Nieuwscript,0,200,0.025385
MyScripts,1,200,0.023235
Nieuwscript,1,200,0.025176
MyScripts,2,200,0.023903
Nieuwscript,2,200,0.026395
MyScripts,3,200,0.023015
Nieuwscript,3,200,0.023800
MyScripts,4,200,0.023886
Nieuwscript,4,200,0.024529
MyScripts,5,200,0.023365
Nieuwscript,5,200,0.026215
MyScripts,6,200,0.023319
Nieuwscript,6,200,0.024877
MyScripts,7,200,0.023378
Nieuwscript,7,200,0.027950
MyScripts,8,200,0.025516
Nieuwscript,8,200,0.025579
MyScripts,9,200,0.023999
Nieuwscript,9,200,0.023509
MyScripts,10,200,0.023887
Nieuwscript,10,200,0.024347
MyScripts,11,200,0.024014
Nieuwscript,11,200,0.024910
MyScripts,12,200,0.024273
Nieuwscript,12,200,0.022791
MyScripts,13,200,0.024352
Nieuwscript,13,200,0.023396
MyScripts,14,200,0.024881
Nieuwscript,14,200,0.025747
MyScripts,15,200,0.025099
Nieuwscript,15,200,0.023927
MyScripts,16,200,0.025237
Nieuwscript,16,200,0.023281
MyScripts,17,200,0.025257
Nieuwscript,17,200,0.025459
MyScripts,18,200,0.024179
Nieuwscript,18,200,0.024150
MyScripts,19,200,0.024291
Nieuwscript,19,200,0.023650
StudentScripts,0,200,0.188253
StudentScripts,1,200,0.126148
StudentScripts,2,200,0.117501
StudentScripts,3,200,0.116063
StudentScripts,4,200,0.118790
StudentScripts,5,200,0.125210
StudentScripts,6,200,0.119402
StudentScripts,7,200,0.117571
StudentScripts,8,200,0.115890
StudentScripts,9,200,0.123302
StudentScripts,10,200,0.115015
StudentScripts,11,200,0.115208
StudentScripts,12,200,0.125827
StudentScripts,13,200,0.117197
StudentScripts,14,200,0.115016
StudentScripts,15,200,0.115070
StudentScripts,16,200,0.116773
StudentScripts,17,200,0.124757
StudentScripts,18,200,0.118847
StudentScripts,19,200,0.111860
