page,rep,http,seconds
MyScripts,0,200,0.058076
Nieuwscript,0,200,0.026973
MyScripts,1,200,0.026184
Nieuwscript,1,200,0.027987
MyScripts,2,200,0.033030
Nieuwscript,2,200,0.026837
MyScripts,3,200,0.026537
Nieuwscript,3,200,0.027153
MyScripts,4,200,0.024188
Nieuwscript,4,200,0.025217
MyScripts,5,200,0.025998
Nieuwscript,5,200,0.024212
MyScripts,6,200,0.024119
Nieuwscript,6,200,0.025154
MyScripts,7,200,0.025376
Nieuwscript,7,200,0.024958
MyScripts,8,200,0.025624
Nieuwscript,8,200,0.024854
MyScripts,9,200,0.023814
Nieuwscript,9,200,0.024711
MyScripts,10,200,0.023467
Nieuwscript,10,200,0.023818
MyScripts,11,200,0.026354
Nieuwscript,11,200,0.025413
MyScripts,12,200,0.023456
Nieuwscript,12,200,0.025144
MyScripts,13,200,0.022682
Nieuwscript,13,200,0.024521
MyScripts,14,200,0.027048
Nieuwscript,14,200,0.024978
MyScripts,15,200,0.023895
Nieuwscript,15,200,0.024355
MyScripts,16,200,0.023734
Nieuwscript,16,200,0.024379
MyScripts,17,200,0.024720
Nieuwscript,17,200,0.023928
MyScripts,18,200,0.022926
Nieuwscript,18,200,0.027815
MyScripts,19,200,0.026205
Nieuwscript,19,200,0.025836
StudentScripts,0,200,0.063998
StudentScripts,1,200,0.046795
StudentScripts,2,200,0.047047
StudentScripts,3,200,0.050144
StudentScripts,4,200,0.047613
StudentScripts,5,200,0.051024
StudentScripts,6,200,0.048563
StudentScripts,7,200,0.048578
StudentScripts,8,200,0.047568
StudentScripts,9,200,0.047755
StudentScripts,10,200,0.050575
StudentScripts,11,200,0.052903
StudentScripts,12,200,0.048631
StudentScripts,13,200,0.120862
StudentScripts,14,200,0.057612
StudentScripts,15,200,0.048386
StudentScripts,16,200,0.047659
StudentScripts,17,200,0.048387
StudentScripts,18,200,0.050925
StudentScripts,19,200,0.052970
