scripts_before,ops,committed,affectedConjuncts,mutateMs,closeMs,totalMs
3825,100,True,110,7.85,96.79,104.64
3850,100,True,110,7.49,96.6,104.09
3875,100,True,110,8.93,99.13,108.06
3900,100,True,110,7.72,96.35,104.07
3925,100,True,110,9.88,164.61,174.49
3950,100,True,110,10.51,100.64,111.14
3975,100,True,110,8.82,112.48,121.3
4000,100,True,110,8.37,100.7,109.07
4025,100,True,110,9.05,92.65,101.69
4050,100,True,110,7.85,99.48,107.33
4075,100,True,110,14.84,97.93,112.77
4100,100,True,110,9.15,108.83,117.99
4125,100,True,110,7.12,100.56,107.67
4150,100,True,110,9.63,100.8,110.43
4175,100,True,110,8.16,99.58,107.74
4200,100,True,110,9.09,102.34,111.44
4225,100,True,110,18.34,109.72,128.06
4250,100,True,110,9.7,114.59,124.29
4275,100,True,110,8.39,104.17,112.56
4300,100,True,110,9.27,102.92,112.19
4325,100,True,110,10.06,104.08,114.14
4350,100,True,110,8.27,102.53,110.8
4375,100,True,110,8.25,103.32,111.57
4400,100,True,110,8.44,108.28,116.72
4425,100,True,110,8.1,102.06,110.15
4450,100,True,110,8.4,100.41,108.81
4475,100,True,110,8.78,102.56,111.34
4500,100,True,110,9.94,101.05,110.99
4525,100,True,110,9.4,105.63,115.03
4550,100,True,110,8.55,105.42,113.97
4575,100,True,110,8.84,100.68,109.51
4600,100,True,110,7.9,101.64,109.54
4625,100,True,110,7.98,104.6,112.57
4650,100,True,110,7.79,110.58,118.37
4675,100,True,110,8.34,104.95,113.29
4700,100,True,110,8.18,105.73,113.91
4725,100,True,110,9.21,105.5,114.71
4750,100,True,110,9.09,102.38,111.47
4775,100,True,110,8.04,107.01,115.05
4800,100,True,110,8.92,105.46,114.38
4825,100,True,110,9.05,112.55,121.6
4850,100,True,110,8.38,106.81,115.19
4875,100,True,110,8.71,108.84,117.55
4900,100,True,110,8.24,112.13,120.38
4925,100,True,110,9.11,113.24,122.35
4950,100,True,110,7.25,115.24,122.5
4975,100,True,110,9.36,118.55,127.91
