rep,committed,affectedConjuncts,mutateMs,closeMs,totalMs
0,True,3,0.38,15.68,16.06
1,True,3,0.4,16.27,16.66
2,True,3,0.36,16.59,16.95
3,True,3,0.42,16.31,16.73
4,True,3,0.45,16.27,16.72
5,True,3,0.47,15.96,16.43
6,True,3,0.36,16.52,16.88
7,True,3,0.33,16.6,16.93
8,True,3,0.34,16.08,16.42
9,True,3,0.34,16.29,16.64
10,True,3,0.46,17.19,17.65
11,True,3,0.44,16.65,17.1
12,True,3,0.44,16.4,16.84
13,True,3,0.39,16.64,17.04
14,True,3,0.34,17.34,17.69
15,True,3,0.43,16.64,17.07
16,True,3,0.38,16.95,17.33
17,True,3,1.4,16.29,17.69
18,True,3,0.37,16.08,16.46
19,True,3,0.35,16.64,17
