page,rep,http,seconds
MyScripts,0,200,0.024884
Nieuwscript,0,200,0.025198
MyScripts,1,200,0.024620
Nieuwscript,1,200,0.025041
MyScripts,2,200,0.024853
Nieuwscript,2,200,0.025045
MyScripts,3,200,0.024674
Nieuwscript,3,200,0.024075
MyScripts,4,200,0.024180
Nieuwscript,4,200,0.025281
MyScripts,5,200,0.025789
Nieuwscript,5,200,0.024008
MyScripts,6,200,0.024517
Nieuwscript,6,200,0.023985
MyScripts,7,200,0.024398
Nieuwscript,7,200,0.023858
MyScripts,8,200,0.025686
Nieuwscript,8,200,0.025992
MyScripts,9,200,0.025149
Nieuwscript,9,200,0.024473
MyScripts,10,200,0.024761
Nieuwscript,10,200,0.026450
MyScripts,11,200,0.025019
Nieuwscript,11,200,0.027512
MyScripts,12,200,0.024825
Nieuwscript,12,200,0.024624
MyScripts,13,200,0.024649
Nieuwscript,13,200,0.025407
MyScripts,14,200,0.025132
Nieuwscript,14,200,0.026645
MyScripts,15,200,0.024721
Nieuwscript,15,200,0.024916
MyScripts,16,200,0.039496
Nieuwscript,16,200,0.024165
MyScripts,17,200,0.024718
Nieuwscript,17,200,0.025924
MyScripts,18,200,0.025823
Nieuwscript,18,200,0.025639
MyScripts,19,200,0.025659
Nieuwscript,19,200,0.025138
StudentScripts,0,200,0.178290
StudentScripts,1,200,0.124548
StudentScripts,2,200,0.126254
StudentScripts,3,200,0.121317
StudentScripts,4,200,0.133642
StudentScripts,5,200,0.129933
StudentScripts,6,200,0.119223
StudentScripts,7,200,0.121574
StudentScripts,8,200,0.126067
StudentScripts,9,200,0.126484
StudentScripts,10,200,0.127908
StudentScripts,11,200,0.123463
StudentScripts,12,200,0.135621
StudentScripts,13,200,0.124448
StudentScripts,14,200,0.122560
StudentScripts,15,200,0.119572
StudentScripts,16,200,0.126768
StudentScripts,17,200,0.123439
StudentScripts,18,200,0.125337
StudentScripts,19,200,0.132074
