page,rep,http,seconds
MyScripts,0,200,0.025854
Nieuwscript,0,200,0.026893
MyScripts,1,200,0.024751
Nieuwscript,1,200,0.024991
MyScripts,2,200,0.024913
Nieuwscript,2,200,0.024294
MyScripts,3,200,0.028655
Nieuwscript,3,200,0.025666
MyScripts,4,200,0.024849
Nieuwscript,4,200,0.023328
MyScripts,5,200,0.025865
Nieuwscript,5,200,0.023414
MyScripts,6,200,0.025226
Nieuwscript,6,200,0.024018
MyScripts,7,200,0.024399
Nieuwscript,7,200,0.024348
MyScripts,8,200,0.025729
Nieuwscript,8,200,0.024740
MyScripts,9,200,0.025064
Nieuwscript,9,200,0.023542
MyScripts,10,200,0.024244
Nieuwscript,10,200,0.024855
MyScripts,11,200,0.024379
Nieuwscript,11,200,0.023871
MyScripts,12,200,0.025335
Nieuwscript,12,200,0.023771
MyScripts,13,200,0.024131
Nieuwscript,13,200,0.031168
MyScripts,14,200,0.026807
Nieuwscript,14,200,0.025284
MyScripts,15,200,0.024275
Nieuwscript,15,200,0.025785
MyScripts,16,200,0.025154
Nieuwscript,16,200,0.026600
MyScripts,17,200,0.024553
Nieuwscript,17,200,0.025143
MyScripts,18,200,0.027400
Nieuwscript,18,200,0.025478
MyScripts,19,200,0.025474
Nieuwscript,19,200,0.025316
StudentScripts,0,200,0.523013
StudentScripts,1,200,0.337499
StudentScripts,2,200,0.368886
StudentScripts,3,200,0.338513
StudentScripts,4,200,0.352660
StudentScripts,5,200,0.365185
StudentScripts,6,200,0.364753
StudentScripts,7,200,0.339071
StudentScripts,8,200,0.362690
StudentScripts,9,200,0.343373
StudentScripts,10,200,0.339665
StudentScripts,11,200,0.351214
StudentScripts,12,200,0.341245
StudentScripts,13,200,0.356110
StudentScripts,14,200,0.331934
StudentScripts,15,200,0.328681
StudentScripts,16,200,0.337614
StudentScripts,17,200,0.321565
StudentScripts,18,200,0.323742
StudentScripts,19,200,0.334843
