rep,committed,affectedConjuncts,mutateMs,closeMs,totalMs
0,True,3,0.69,42.89,43.58
1,True,3,0.47,43.31,43.78
2,True,3,0.44,44.75,45.19
3,True,3,0.54,41.87,42.4
4,True,3,0.37,42.52,42.89
5,True,3,0.48,45.96,46.44
6,True,3,0.45,42,42.45
7,True,3,0.38,43.5,43.88
8,True,3,0.55,42.92,43.47
9,True,3,0.77,44.09,44.86
10,True,3,0.47,43.96,44.43
11,True,3,0.46,43.62,44.07
12,True,3,0.67,60.59,61.25
13,True,3,0.43,44,44.44
14,True,3,0.46,43.5,43.96
15,True,3,0.37,42.76,43.13
16,True,3,1.17,72.7,73.87
17,True,3,0.47,45.3,45.77
18,True,3,0.44,66.35,66.79
19,True,3,0.54,44.76,45.3
