scale,tx,op,incremental_us,full_affected_us,affected_conjuncts
1000,56,ins,34.75,82745.084,3
1000,57,del,70.0,98034.75,3
1000,58,ins,42.417,31394.083,1
1000,59,ins,21.542,32096.0,1
1000,60,del,34.333,31130.167,1
1000,61,del,24.25,36511.833,1
1000,62,del,23.333,12408.542,1
1000,63,del,17.333,12220.958,1
1000,64,ins,16.292,12301.5,1
1000,65,del,29.708,32269.167,1
1000,66,del,29.333,32092.625,1
1000,67,del,41.25,97130.5,3
1000,68,ins,43.375,13215.5,1
1000,69,ins,26.583,101762.583,3
1000,70,del,51.583,13437.917,1
1000,71,ins,21.708,31442.208,1
1000,72,del,36.875,75130.5,3
1000,73,del,50.458,99179.292,3
1000,74,ins,62.417,32897.416,1
1000,75,ins,33.5,17057.959,1
1000,76,del,41.916,78091.208,3
1000,77,del,55.292,13118.875,1
1000,78,ins,32.667,33050.625,1
1000,79,del,35.666,13414.75,1
1000,80,del,30.75,99743.875,3
1000,81,del,62.083,81405.083,3
1000,82,ins,56.375,78890.583,3
1000,83,ins,55.959,13363.375,1
1000,84,del,30.667,13378.375,1
1000,85,ins,28.792,34347.208,1
1000,86,ins,44.5,76817.042,3
1000,87,ins,42.042,32774.625,1
1000,88,ins,24.958,12425.792,1
1000,89,ins,28.917,82215.334,3
1000,90,del,46.583,33968.333,1
1000,91,ins,41.125,100033.75,3
1000,92,del,41.125,33368.333,1
1000,93,ins,56.916,105414.542,3
1000,94,del,51.0,13451.875,1
1000,95,ins,24.5,99041.583,3
1000,96,del,39.959,32298.417,1
1000,97,ins,25.542,32365.75,1
1000,98,ins,37.792,81413.625,3
1000,99,del,43.958,78068.917,3
1000,100,del,63.375,32483.208,1
2000,1,ins,16.5,45817.417,1
2000,2,del,49.5,386347.5,3
2000,3,ins,121.625,129370.167,1
2000,4,del,96.5,44916.917,1
2000,5,ins,43.417,136970.542,1
2000,6,del,66.209,387534.208,3
2000,7,ins,55.667,379869.5,3
2000,8,del,63.125,388418.208,3
2000,9,del,68.0,312128.667,3
2000,10,del,63.25,129570.667,1
2000,11,del,59.083,128759.5,1
2000,12,ins,37.334,128750.625,1
2000,13,ins,54.834,383176.125,3
2000,14,del,62.166,46949.625,1
2000,15,del,42.833,47566.333,1
2000,16,del,59.958,310674.542,3
2000,17,ins,61.791,308159.459,3
2000,18,del,79.333,308516.542,3
2000,19,del,69.417,47502.416,1
2000,20,ins,30.25,129828.875,1
2000,21,ins,43.125,133844.666,1
2000,22,ins,60.584,306802.25,3
2000,23,del,89.667,390626.5,3
2000,24,ins,53.25,387533.833,3
2000,25,ins,55.583,128515.417,1
2000,26,del,56.791,381457.042,3
2000,27,del,64.166,304850.125,3
2000,28,del,56.708,134970.333,1
2000,29,del,64.458,305933.917,3
2000,30,ins,52.625,129740.542,1
2000,31,del,62.333,310812.167,3
2000,32,ins,59.083,297803.625,3
2000,33,del,70.792,388564.708,3
2000,34,ins,56.25,387007.5,3
2000,35,ins,51.208,45573.667,1
2000,36,del,66.792,310173.0,3
2000,37,ins,70.291,390257.875,3
2000,38,ins,63.541,308061.042,3
2000,39,ins,64.583,388864.25,3
2000,40,ins,63.459,134467.0,1
2000,41,del,70.833,127500.334,1
2000,42,ins,39.625,52446.333,1
2000,43,ins,42.167,395210.333,3
2000,44,del,71.708,305128.042,3
2000,45,del,67.875,128618.458,1
2000,46,ins,37.5,52983.167,1
2000,47,del,48.417,387751.459,3
2000,48,del,71.041,307250.167,3
2000,49,ins,100.417,312785.125,3
2000,50,del,72.084,398223.167,3
2000,51,ins,47.417,130266.458,1
2000,52,ins,43.375,128274.875,1
2000,53,del,70.5,309510.125,3
2000,54,del,73.666,130253.709,1
2000,55,ins,53.083,397996.833,3
2000,56,ins,55.041,48234.292,1
2000,57,del,70.0,315216.792,3
2000,58,ins,61.667,307333.542,3
2000,59,ins,50.875,132423.833,1
2000,60,ins,51.042,400044.583,3
2000,61,ins,42.666,129964.0,1
2000,62,del,53.084,394887.75,3
2000,63,del,56.875,306049.417,3
2000,64,del,89.042,391622.041,3
2000,65,ins,58.458,130159.292,1
2000,66,del,49.792,47432.5,1
2000,67,ins,27.666,130657.417,1
2000,68,ins,39.208,135362.917,1
2000,69,del,48.125,127904.0,1
2000,70,ins,61.375,300359.75,3
2000,71,del,78.958,310768.709,3
2000,72,ins,60.167,44324.375,1
2000,73,ins,41.542,383841.666,3
2000,74,del,80.292,303178.958,3
2000,75,del,61.292,52501.958,1
2000,76,del,34.708,46299.416,1
2000,77,del,60.125,305743.583,3
2000,78,ins,47.709,135401.833,1
2000,79,del,28.083,132288.083,1
2000,80,del,33.125,46785.334,1
2000,81,del,50.708,385788.25,3
2000,82,del,77.875,385517.875,3
2000,83,ins,62.417,394846.083,3
2000,84,ins,49.0,48304.25,1
2000,85,ins,42.583,306363.875,3
2000,86,ins,67.042,395826.542,3
2000,87,del,60.917,132266.208,1
2000,88,del,56.083,49880.25,1
2000,89,ins,40.334,138931.625,1
2000,90,del,52.917,388845.917,3
2000,91,del,61.375,129535.5,1
2000,92,ins,40.542,50742.5,1
2000,93,ins,76.542,307490.25,3
2000,94,ins,61.25,137252.708,1
2000,95,ins,59.75,389895.833,3
2000,96,del,64.875,134623.875,1
2000,97,ins,32.125,131611.25,1
2000,98,del,58.75,385456.75,3
2000,99,del,62.334,45084.583,1
2000,100,ins,28.167,130163.666,1
4000,1,del,49.458,174059.375,1
4000,2,ins,52.875,491821.333,1
4000,3,ins,76.833,495945.708,1
4000,4,del,103.875,174854.291,1
4000,5,ins,50.458,1169897.042,3
4000,6,del,143.75,1189922.417,3
4000,7,del,89.458,1158902.292,3
4000,8,ins,58.416,180817.125,1
4000,9,del,62.208,174915.292,1
4000,10,del,66.375,171192.708,1
4000,11,del,60.292,1488531.417,3
4000,12,del,73.458,1200678.916,3
4000,13,ins,49.541,174257.042,1
4000,14,del,95.916,1447289.125,3
4000,15,ins,70.792,1459150.0,3
4000,16,del,79.792,1440702.291,3
4000,17,ins,47.833,171061.541,1
4000,18,ins,59.25,1195551.75,3
4000,19,ins,66.375,172881.0,1
4000,20,del,75.25,519340.375,1
4000,21,ins,49.041,1163508.75,3
4000,22,ins,54.333,517430.083,1
4000,23,del,60.167,1465730.542,3
4000,24,ins,62.542,1465170.416,3
4000,25,del,99.375,1190158.125,3
4000,26,del,76.0,488522.667,1
4000,27,del,95.0,1444744.833,3
4000,28,del,88.917,1468888.791,3
4000,29,ins,63.583,1453930.667,3
4000,30,ins,56.583,513745.292,1
4000,31,ins,55.791,509079.458,1
4000,32,ins,68.125,1450331.542,3
4000,33,ins,44.833,172575.292,1
4000,34,del,48.083,512577.25,1
4000,35,ins,41.5,516054.667,1
4000,36,ins,54.708,1173593.292,3
4000,37,del,62.208,502312.792,1
4000,38,del,82.792,1182006.458,3
4000,39,del,85.209,1465578.542,3
4000,40,ins,59.5,511221.292,1
4000,41,del,60.792,515321.333,1
4000,42,ins,42.667,501715.792,1
4000,43,ins,54.333,1183618.917,3
4000,44,del,76.792,173545.292,1
4000,45,ins,55.709,1481047.75,3
