scale,tx,op,incremental_us,full_affected_us,affected_conjuncts
500,11,del,24.833,3888.084,1
500,12,del,20.125,8626.583,1
500,13,ins,8.417,8688.709,1
500,14,del,35.5,21088.541,3
500,15,del,25.292,20906.5,3
500,16,ins,16.333,3968.083,1
500,17,ins,13.375,3838.958,1
500,18,del,34.333,29896.0,3
500,19,ins,20.833,26953.125,3
500,20,del,26.208,27092.125,3
500,21,ins,13.167,8717.75,1
500,22,del,19.0,8444.084,1
500,23,del,13.791,8367.792,1
500,24,del,11.875,8440.75,1
500,25,ins,25.375,21067.5,3
500,26,ins,8.667,3954.167,1
500,27,del,46.292,27376.583,3
500,28,ins,39.375,22564.083,3
500,29,ins,26.833,11874.417,1
500,30,del,27.5,3912.958,1
500,31,del,27.5,27069.458,3
500,32,ins,25.5,21235.166,3
500,33,del,17.583,26707.5,3
500,34,del,16.042,8697.083,1
500,35,ins,22.541,20899.959,3
500,36,ins,10.0,3841.667,1
500,37,del,16.458,8460.042,1
500,38,ins,45.458,10939.292,1
500,39,del,21.125,4012.541,1
500,40,ins,25.833,27282.417,3
500,41,ins,21.542,4235.833,1
500,42,del,29.75,9389.083,1
500,43,ins,23.125,4085.75,1
500,44,ins,26.125,11195.417,1
500,45,del,35.792,21477.667,3
500,46,ins,15.709,8620.25,1
500,47,del,37.25,20602.25,3
500,48,del,22.875,8374.75,1
500,49,del,15.375,20850.625,3
500,50,ins,24.458,21092.167,3
500,51,ins,17.5,8884.125,1
500,52,del,17.25,3890.791,1
500,53,ins,11.042,8435.667,1
500,54,ins,15.25,8374.083,1
500,55,del,11.083,8477.0,1
500,56,del,14.084,8370.375,1
500,57,del,12.667,3709.5,1
500,58,ins,22.167,20819.167,3
500,59,ins,10.458,10957.75,1
500,60,ins,28.083,26993.5,3
500,61,ins,17.0,8499.584,1
500,62,ins,24.5,21027.959,3
500,63,del,22.542,26823.5,3
500,64,ins,26.75,21007.75,3
500,65,del,14.542,8294.083,1
500,66,ins,15.834,26213.833,3
500,67,ins,34.334,20953.5,3
500,68,ins,22.125,21414.917,3
500,69,del,18.0,8713.834,1
500,70,del,8.667,8590.25,1
500,71,del,17.875,3979.041,1
500,72,ins,20.166,21368.042,3
500,73,ins,21.792,26810.958,3
500,74,del,16.667,3872.458,1
500,75,ins,24.291,4098.542,1
500,76,del,35.917,20779.333,3
500,77,del,21.416,29994.417,3
500,78,ins,19.667,8468.958,1
500,79,ins,10.416,8317.792,1
500,80,ins,13.416,29967.958,3
500,81,ins,24.292,27160.959,3
500,82,ins,23.917,21040.041,3
500,83,del,16.375,8515.917,1
500,84,ins,23.417,26661.333,3
500,85,del,14.625,3631.125,1
500,86,ins,16.75,8720.417,1
500,87,ins,13.75,8532.917,1
500,88,del,22.5,8375.292,1
500,89,ins,15.25,4027.583,1
500,90,ins,9.083,3972.125,1
500,91,ins,9.875,3967.208,1
500,92,del,7.708,3846.875,1
500,93,del,16.209,8541.458,1
500,94,del,16.167,8519.625,1
500,95,del,8.75,3877.834,1
500,96,del,25.583,11629.375,1
500,97,del,30.458,20789.459,3
500,98,ins,22.625,20918.708,3
500,99,ins,16.292,8548.542,1
500,100,del,10.792,3844.458,1
500,101,del,23.542,27476.5,3
500,102,del,20.667,8686.541,1
500,103,ins,7.875,8529.375,1
500,104,del,17.416,20771.542,3
500,105,ins,26.042,27397.083,3
500,106,del,19.334,8547.625,1
500,107,ins,17.166,3757.75,1
500,108,del,11.208,3730.708,1
500,109,ins,8.833,3759.708,1
500,110,ins,23.75,26606.25,3
500,111,ins,22.541,27143.209,3
500,112,del,16.583,27167.792,3
500,113,del,21.292,23553.041,3
500,114,del,14.583,8285.625,1
500,115,del,26.709,27116.584,3
500,116,del,18.25,3969.333,1
500,117,del,22.833,27370.292,3
500,118,ins,16.583,8237.875,1
500,119,del,16.833,8335.125,1
500,120,del,29.708,20395.917,3
500,121,del,23.958,26202.375,3
500,122,del,23.375,26731.875,3
500,123,ins,11.708,3663.292,1
500,124,del,29.416,28122.958,3
500,125,del,22.5,8225.291,1
500,126,del,18.125,8319.791,1
500,127,del,20.208,8316.875,1
500,128,del,17.417,3951.084,1
500,129,ins,28.375,27098.958,3
500,130,ins,22.917,26829.417,3
500,131,ins,12.709,8475.959,1
500,132,ins,18.292,20806.333,3
