page,rep,http,seconds
MyScripts,0,200,0.022603
Nieuwscript,0,200,0.023119
MyScripts,1,200,0.022072
Nieuwscript,1,200,0.022011
MyScripts,2,200,0.021997
Nieuwscript,2,200,0.021988
MyScripts,3,200,0.022023
Nieuwscript,3,200,0.022081
MyScripts,4,200,0.022046
Nieuwscript,4,200,0.022171
MyScripts,5,200,0.022137
Nieuwscript,5,200,0.022264
MyScripts,6,200,0.022322
Nieuwscript,6,200,0.022568
MyScripts,7,200,0.022314
Nieuwscript,7,200,0.023157
MyScripts,8,200,0.022101
Nieuwscript,8,200,0.021866
MyScripts,9,200,0.021976
Nieuwscript,9,200,0.022215
MyScripts,10,200,0.022134
Nieuwscript,10,200,0.021874
MyScripts,11,200,0.021704
Nieuwscript,11,200,0.021505
MyScripts,12,200,0.021492
Nieuwscript,12,200,0.023971
MyScripts,13,200,0.023123
Nieuwscript,13,200,0.021787
MyScripts,14,200,0.022001
Nieuwscript,14,200,0.021852
MyScripts,15,200,0.022266
Nieuwscript,15,200,0.021799
MyScripts,16,200,0.021420
Nieuwscript,16,200,0.021725
MyScripts,17,200,0.024604
Nieuwscript,17,200,0.023197
MyScripts,18,200,0.022264
Nieuwscript,18,200,0.022036
MyScripts,19,200,0.022278
Nieuwscript,19,200,0.022444
StudentScripts,0,200,0.159639
StudentScripts,1,200,0.120539
StudentScripts,2,200,0.119247
StudentScripts,3,200,0.115384
StudentScripts,4,200,0.118042
StudentScripts,5,200,0.113588
StudentScripts,6,200,0.107441
StudentScripts,7,200,0.115580
StudentScripts,8,200,0.120683
StudentScripts,9,200,0.115142
StudentScripts,10,200,0.117845
StudentScripts,11,200,0.111907
StudentScripts,12,200,0.125767
StudentScripts,13,200,0.115274
StudentScripts,14,200,0.109371
StudentScripts,15,200,0.109704
StudentScripts,16,200,0.118062
StudentScripts,17,200,0.117932
StudentScripts,18,200,0.109496
StudentScripts,19,200,0.108840
