page,rep,http,seconds
MyScripts,0,200,0.024502
Nieuwscript,0,200,0.022736
MyScripts,1,200,0.021875
Nieuwscript,1,200,0.022093
MyScripts,2,200,0.021596
Nieuwscript,2,200,0.021767
MyScripts,3,200,0.021913
Nieuwscript,3,200,0.021923
MyScripts,4,200,0.022441
Nieuwscript,4,200,0.021894
MyScripts,5,200,0.021651
Nieuwscript,5,200,0.021697
MyScripts,6,200,0.027613
Nieuwscript,6,200,0.022079
MyScripts,7,200,0.021793
Nieuwscript,7,200,0.022403
MyScripts,8,200,0.021581
Nieuwscript,8,200,0.021566
MyScripts,9,200,0.022001
Nieuwscript,9,200,0.023135
MyScripts,10,200,0.021942
Nieuwscript,10,200,0.022575
MyScripts,11,200,0.022771
Nieuwscript,11,200,0.022281
MyScripts,12,200,0.022020
Nieuwscript,12,200,0.022190
MyScripts,13,200,0.021873
Nieuwscript,13,200,0.021885
MyScripts,14,200,0.021721
Nieuwscript,14,200,0.021947
MyScripts,15,200,0.021778
Nieuwscript,15,200,0.021932
MyScripts,16,200,0.022746
Nieuwscript,16,200,0.021735
MyScripts,17,200,0.021697
Nieuwscript,17,200,0.021697
MyScripts,18,200,0.021598
Nieuwscript,18,200,0.021810
MyScripts,19,200,0.021970
Nieuwscript,19,200,0.022527
StudentScripts,0,200,0.450266
StudentScripts,1,200,0.316592
StudentScripts,2,200,0.297036
StudentScripts,3,200,0.309321
StudentScripts,4,200,0.310972
StudentScripts,5,200,0.293857
StudentScripts,6,200,0.322660
StudentScripts,7,200,0.315115
StudentScripts,8,200,0.313582
StudentScripts,9,200,0.305111
StudentScripts,10,200,0.332257
StudentScripts,11,200,0.293702
StudentScripts,12,200,0.299397
StudentScripts,13,200,0.310182
StudentScripts,14,200,0.312573
StudentScripts,15,200,0.313157
StudentScripts,16,200,0.320374
StudentScripts,17,200,0.291272
StudentScripts,18,200,0.297854
StudentScripts,19,200,0.307524
