rep,committed,affectedConjuncts,mutateMs,closeMs,totalMs
0,True,3,0.43,67.64,68.07
1,True,3,0.35,71.03,71.38
2,True,3,0.43,69.04,69.46
3,True,3,0.39,70.3,70.69
4,True,3,0.44,70.27,70.71
5,True,3,0.43,67.73,68.15
6,True,3,0.4,69.61,70.02
7,True,3,0.36,68.17,68.53
8,True,3,0.36,68.53,68.89
9,True,3,0.4,72.08,72.48
10,True,3,0.51,68.99,69.5
11,True,3,0.38,68,68.37
12,True,3,0.44,67.72,68.16
13,True,3,0.4,68.68,69.08
14,True,3,0.39,68.64,69.03
15,True,3,0.34,68.73,69.07
16,True,3,0.39,68.87,69.26
17,True,3,0.4,68,68.4
18,True,3,0.4,69.95,70.35
19,True,3,0.41,67.79,68.21
