rep,committed,affectedConjuncts,mutateMs,closeMs,totalMs
0,True,3,0.37,24.63,25
1,True,3,0.36,24.45,24.82
2,True,3,0.36,24.61,24.96
3,True,3,0.4,25.39,25.79
4,True,3,0.28,24.8,25.08
5,True,3,0.3,24.82,25.13
6,True,3,0.32,26.37,26.69
7,True,3,0.37,24.25,24.62
8,True,3,0.37,25.05,25.42
9,True,3,0.4,24.56,24.96
10,True,3,0.34,24.71,25.05
11,True,3,0.36,24.75,25.11
12,True,3,0.34,24.16,24.51
13,True,3,0.34,25.53,25.88
14,True,3,0.37,25.25,25.62
15,True,3,0.37,25.96,26.33
16,True,3,0.51,24.32,24.83
17,True,3,0.32,24.46,24.79
18,True,3,0.28,24.44,24.72
19,True,3,0.38,24.07,24.44
