rep,committed,affectedConjuncts,mutateMs,closeMs,totalMs
0,True,3,0.45,9.82,10.28
1,True,3,0.47,9.44,9.92
2,True,3,0.49,10.48,10.97
3,True,3,0.42,9.75,10.18
4,True,3,0.5,9.24,9.74
5,True,3,0.43,9.65,10.08
6,True,3,0.46,9.45,9.91
7,True,3,0.38,8.57,8.94
8,True,3,0.39,8.69,9.08
9,True,3,0.44,9.15,9.59
10,True,3,0.46,8.41,8.88
11,True,3,0.43,8.45,8.88
12,True,3,0.42,9.24,9.66
13,True,3,0.43,8.74,9.16
14,True,3,0.47,9.39,9.85
15,True,3,0.43,9.07,9.5
16,True,3,0.4,8.79,9.19
17,True,3,0.44,8.93,9.37
18,True,3,0.54,8.99,9.52
19,True,3,0.43,8.59,9.02
