page,rep,http,seconds
MyScripts,0,200,0.022554
Nieuwscript,0,200,0.022636
MyScripts,1,200,0.021683
Nieuwscript,1,200,0.022372
MyScripts,2,200,0.022793
Nieuwscript,2,200,0.023086
MyScripts,3,200,0.024350
Nieuwscript,3,200,0.022131
MyScripts,4,200,0.021791
Nieuwscript,4,200,0.022313
MyScripts,5,200,0.021600
Nieuwscript,5,200,0.022483
MyScripts,6,200,0.021790
Nieuwscript,6,200,0.022093
MyScripts,7,200,0.022019
Nieuwscript,7,200,0.027402
MyScripts,8,200,0.025860
Nieuwscript,8,200,0.022345
MyScripts,9,200,0.021576
Nieuwscript,9,200,0.021930
MyScripts,10,200,0.021759
Nieuwscript,10,200,0.021898
MyScripts,11,200,0.022062
Nieuwscript,11,200,0.021922
MyScripts,12,200,0.022215
Nieuwscript,12,200,0.022051
MyScripts,13,200,0.022176
Nieuwscript,13,200,0.023640
MyScripts,14,200,0.021725
Nieuwscript,14,200,0.021674
MyScripts,15,200,0.021661
Nieuwscript,15,200,0.021976
MyScripts,16,200,0.022265
Nieuwscript,16,200,0.023301
MyScripts,17,200,0.022637
Nieuwscript,17,200,0.021933
MyScripts,18,200,0.021795
Nieuwscript,18,200,0.022311
MyScripts,19,200,0.021791
Nieuwscript,19,200,0.024358
StudentScripts,0,200,0.057326
StudentScripts,1,200,0.044320
StudentScripts,2,200,0.044904
StudentScripts,3,200,0.043380
StudentScripts,4,200,0.043629
StudentScripts,5,200,0.046553
StudentScripts,6,200,0.043743
StudentScripts,7,200,0.043533
StudentScripts,8,200,0.050727
StudentScripts,9,200,0.058328
StudentScripts,10,200,0.042299
StudentScripts,11,200,0.042803
StudentScripts,12,200,0.042960
StudentScripts,13,200,0.044139
StudentScripts,14,200,0.047574
StudentScripts,15,200,0.044074
StudentScripts,16,200,0.052453
StudentScripts,17,200,0.044032
StudentScripts,18,200,0.043285
StudentScripts,19,200,0.043288
