page,rep,http,seconds
MyScripts,0,200,0.022043
Nieuwscript,0,200,0.022746
MyScripts,1,200,0.021900
Nieuwscript,1,200,0.022019
MyScripts,2,200,0.024893
Nieuwscript,2,200,0.022847
MyScripts,3,200,0.022971
Nieuwscript,3,200,0.022351
MyScripts,4,200,0.022159
Nieuwscript,4,200,0.022403
MyScripts,5,200,0.022296
Nieuwscript,5,200,0.022066
MyScripts,6,200,0.022405
Nieuwscript,6,200,0.022781
MyScripts,7,200,0.021986
Nieuwscript,7,200,0.022087
MyScripts,8,200,0.022055
Nieuwscript,8,200,0.022640
MyScripts,9,200,0.022266
Nieuwscript,9,200,0.022320
MyScripts,10,200,0.022389
Nieuwscript,10,200,0.023020
MyScripts,11,200,0.022998
Nieuwscript,11,200,0.022832
MyScripts,12,200,0.021799
Nieuwscript,12,200,0.022520
MyScripts,13,200,0.022070
Nieuwscript,13,200,0.021944
MyScripts,14,200,0.022102
Nieuwscript,14,200,0.022530
MyScripts,15,200,0.021810
Nieuwscript,15,200,0.021963
MyScripts,16,200,0.022020
Nieuwscript,16,200,0.022176
MyScripts,17,200,0.023625
Nieuwscript,17,200,0.022173
MyScripts,18,200,0.021709
Nieuwscript,18,200,0.028598
MyScripts,19,200,0.022401
Nieuwscript,19,200,0.022257
StudentScripts,0,200,0.160553
StudentScripts,1,200,0.110712
StudentScripts,2,200,0.109262
StudentScripts,3,200,0.111794
StudentScripts,4,200,0.108773
StudentScripts,5,200,0.118083
StudentScripts,6,200,0.108633
StudentScripts,7,200,0.116083
StudentScripts,8,200,0.107672
StudentScripts,9,200,0.110507
StudentScripts,10,200,0.110272
StudentScripts,11,200,0.116453
StudentScripts,12,200,0.110709
StudentScripts,13,200,0.109615
StudentScripts,14,200,0.107708
StudentScripts,15,200,0.119110
StudentScripts,16,200,0.108206
StudentScripts,17,200,0.107863
StudentScripts,18,200,0.121024
StudentScripts,19,200,0.117116
