scripts_before,ops,committed,affectedConjuncts,mutateMs,closeMs,totalMs
3825,100,True,110,8.87,118.8,127.67
3850,100,True,110,8.23,111.43,119.66
3875,100,True,110,8.56,110.44,119
3900,100,True,110,8.94,110.22,119.16
3925,100,True,110,8.32,112.64,120.96
3950,100,True,110,8.38,116.67,125.05
3975,100,True,110,8.94,116.53,125.47
4000,100,True,110,9.53,119.37,128.9
4025,100,True,110,9.11,119.48,128.59
4050,100,True,110,8.94,118.41,127.34
4075,100,True,110,9.09,115.65,124.75
4100,100,True,110,8.7,116.9,125.6
4125,100,True,110,8.27,115.67,123.94
4150,100,True,110,10.08,127.43,137.51
4175,100,True,110,17.5,117.87,135.37
4200,100,True,110,8.58,117.2,125.78
4225,100,True,110,9.41,122.89,132.3
4250,100,True,110,8.8,120.69,129.49
4275,100,True,110,9.23,116.32,125.55
4300,100,True,110,9.42,147.28,156.71
4325,100,True,110,8.69,119.39,128.08
4350,100,True,110,8.41,120.4,128.81
4375,100,True,110,8.84,119.36,128.2
4400,100,True,110,8.63,127.15,135.78
4425,100,True,110,8.19,130.94,139.13
4450,100,True,110,8.09,119.53,127.62
4475,100,True,110,8.38,120.72,129.1
4500,100,True,110,8.5,120.71,129.21
4525,100,True,110,8.27,126.5,134.77
4550,100,True,110,8.88,122.51,131.39
4575,100,True,110,8.91,128.72,137.63
4600,100,True,110,8.46,123.14,131.6
4625,100,True,110,8.66,128.87,137.52
4650,100,True,110,7.62,124.07,131.68
4675,100,True,110,8.1,134.32,142.42
4700,100,True,110,8.81,129.83,138.64
4725,100,True,110,8.89,125.23,134.12
4750,100,True,110,9.07,129.44,138.51
4775,100,True,110,8.82,124.61,133.43
4800,100,True,110,8.78,132.44,141.22
4825,100,True,110,8.08,130.49,138.57
4850,100,True,110,10.4,129.53,139.93
4875,100,True,110,10.06,130.24,140.3
4900,100,True,110,8.55,128.49,137.04
4925,100,True,110,8.39,143.08,151.46
4950,100,True,110,8.4,135.92,144.32
4975,100,True,110,9.99,130.36,140.35
5000,100,True,110,10.11,130.43,140.54
5025,100,True,110,8.75,131.13,139.89
5050,100,True,110,10,136.48,146.48
5075,100,True,110,9.81,132.83,142.64
5100,100,True,110,8.87,132.9,141.78
5125,100,True,110,8.45,132.15,140.6
5150,100,True,110,8.94,130.47,139.41
5175,100,True,110,8.36,138.74,147.1
5200,100,True,110,9.05,139.79,148.84
5225,100,True,110,8.8,133.68,142.49
5250,100,True,110,10.04,135.69,145.73
5275,100,True,110,8.31,133.51,141.82
5300,100,True,110,8.44,138.48,146.92
5325,100,True,110,8.75,136.81,145.55
5350,100,True,110,8.6,135,143.61
5375,100,True,110,8.42,137.12,145.54
5400,100,True,110,8.39,138.22,146.62
5425,100,True,110,9.03,137.17,146.19
5450,100,True,110,8.13,139.93,148.06
5475,100,True,110,9.57,138.65,148.21
5500,100,True,110,8.8,138.79,147.59
5525,100,True,110,8.87,136.72,145.58
5550,100,True,110,9.71,140.32,150.03
5575,100,True,110,8.54,145.49,154.03
5600,100,True,110,10.6,142.45,153.05
5625,100,True,110,9.84,142.69,152.53
5650,100,True,110,8.48,142.07,150.55
5675,100,True,110,8.79,149.2,157.99
5700,100,True,110,8.61,147.62,156.23
5725,100,True,110,9.56,138.99,148.55
5750,100,True,110,8.79,143.79,152.58
5775,100,True,110,12.26,146,158.26
5800,100,True,110,9.02,151.69,160.71
5825,100,True,110,9.1,150.05,159.15
5850,100,True,110,9.46,143.29,152.75
5875,100,True,110,9.08,142.62,151.7
5900,100,True,110,8.77,143.78,152.55
5925,100,True,110,8.29,148.01,156.3
5950,100,True,110,10.05,154.05,164.1
5975,100,True,110,9.93,155.17,165.1
6000,100,True,110,8.61,147.09,155.7
6025,100,True,110,9.03,157.87,166.9
6050,100,True,110,9.52,150.35,159.87
6075,100,True,110,9.64,154.69,164.32
6100,100,True,110,11.25,148.73,159.98
6125,100,True,110,8.99,150.51,159.5
6150,100,True,110,8.67,165.42,174.09
6175,100,True,110,8.79,152.84,161.63
6200,100,True,110,9.03,160.96,169.99
6225,100,True,110,8.57,147.98,156.55
6250,100,True,110,9.24,156.18,165.42
6275,100,True,110,9.22,153.49,162.72
6300,100,True,110,23.35,152.05,175.41
6325,100,True,110,9.39,152.22,161.6
6350,100,True,110,8.9,152.55,161.45
6375,100,True,110,8.89,160.61,169.51
6400,100,True,110,8.8,155.66,164.46
6425,100,True,110,8.06,160.13,168.18
6450,100,True,110,8.91,154.09,163
6475,100,True,110,8.4,159.22,167.62
6500,100,True,110,8.89,157.36,166.25
6525,100,True,110,8.27,161.7,169.97
6550,100,True,110,9.05,154.92,163.97
6575,100,True,110,8.32,154.45,162.77
6600,100,True,110,8.45,167.5,175.95
6625,100,True,110,8.56,156.56,165.13
6650,100,True,110,8.99,154.72,163.71
6675,100,True,110,9.09,153.1,162.18
6700,100,True,110,8.5,159.42,167.92
6725,100,True,110,9.24,167.75,177
6750,100,True,110,10.55,166.79,177.34
6775,100,True,110,10.02,159.8,169.82
6800,100,True,110,8.38,156,164.38
6825,100,True,110,8.9,167.34,176.24
6850,100,True,110,8.77,162.12,170.89
6875,100,True,110,8.33,158.88,167.21
6900,100,True,110,10.69,155.22,165.9
6925,100,True,110,8.23,168.62,176.85
6950,100,True,110,9.6,163.94,173.53
6975,100,True,110,9.18,164.78,173.97
7000,100,True,110,9.19,158.98,168.16
7025,100,True,110,8.34,160.75,169.09
7050,100,True,110,9.05,174.11,183.15
7075,100,True,110,8.78,169.92,178.7
7100,100,True,110,9.31,179.81,189.12
7125,100,True,110,9.42,163.29,172.7
7150,100,True,110,9.88,180.38,190.26
7175,100,True,110,9.41,170.95,180.36
7200,100,True,110,9.32,165.3,174.62
7225,100,True,110,10.39,165.03,175.43
7250,100,True,110,8.88,171.2,180.08
7275,100,True,110,8.19,171.05,179.24
7300,100,True,110,9.3,169.79,179.09
7325,100,True,110,8.29,163.68,171.96
7350,100,True,110,9.31,166.65,175.96
7375,100,True,110,9.18,167.62,176.8
7400,100,True,110,10.09,175.14,185.23
7425,100,True,110,9.16,172.12,181.28
7450,100,True,110,9.14,165.38,174.51
7475,100,True,110,8.15,177.81,185.96
7500,100,True,110,8.63,175.22,183.85
7525,100,True,110,9.03,168.16,177.19
7550,100,True,110,9.26,167.84,177.1
7575,100,True,110,9.01,179.2,188.22
7600,100,True,110,8.4,168.24,176.65
7625,100,True,110,28.38,169.71,198.1
7650,100,True,110,8.76,171.65,180.41
7675,100,True,110,8.35,173.45,181.8
7700,100,True,110,9.21,175.34,184.55
7725,100,True,110,8.77,188.58,197.35
7750,100,True,110,8.09,172.37,180.46
7775,100,True,110,9.76,183.7,193.45
7800,100,True,110,8.75,172.36,181.11
7825,100,True,110,8.87,173.69,182.56
7850,100,True,110,8.41,172.47,180.88
7875,100,True,110,18.36,177.04,195.4
7900,100,True,110,9.72,178.33,188.06
7925,100,True,110,8.73,180.77,189.5
7950,100,True,110,9.53,176.34,185.87
7975,100,True,110,8.24,172.69,180.93
8000,100,True,110,9.06,179.36,188.42
8025,100,True,110,8.56,180.76,189.33
8050,100,True,110,9.44,180.06,189.5
8075,100,True,110,8.53,173.62,182.15
8100,100,True,110,8.52,187.98,196.5
8125,100,True,110,8.09,177.05,185.14
