rep,committed,affectedConjuncts,mutateMs,closeMs,totalMs
0,True,3,0.48,68.93,69.41
1,True,3,0.44,72.5,72.94
2,True,3,0.5,72.64,73.14
3,True,3,0.5,69.16,69.67
4,True,3,0.48,68.2,68.68
5,True,3,0.49,69.91,70.4
6,True,3,0.41,72.3,72.72
7,True,3,0.43,69,69.43
8,True,3,0.48,69.12,69.6
9,True,3,0.51,68.18,68.68
10,True,3,0.52,67.81,68.33
11,True,3,0.48,68.23,68.72
12,True,3,0.48,67.73,68.21
13,True,3,0.55,69.52,70.07
14,True,3,0.48,74.91,75.39
15,True,3,3.42,70.23,73.64
16,True,3,0.41,68.54,68.95
17,True,3,0.5,69.13,69.63
18,True,3,0.51,70.03,70.54
19,True,3,0.47,67.5,67.97
